Indicator.Group...Sector,research.question,sub.research.question,repeat.for.variable,independent.variable,independent.variable.type,dependent.variable,dependent.variable.type,hypothesis.type
Education,% of households reporting barriers to school by type of barriers,We can’t afford to pay for the school related expenses,governorate_gaza,,,ep2_iv,numerical,direct_reporting
Education,% of households reporting barriers to school by type of barriers,We are not able to register or enrol our children in the school,governorate_gaza,,,ep2_v,numerical,direct_reporting
Education,% of households reporting barriers to school by type of barriers,Lack of available schools in the area,governorate_gaza,,,ep2_vi,numerical,direct_reporting
Education,% of households reporting barriers to school by type of barriers,Our children can’t physically go to the school,governorate_gaza,,,ep2_vii,numerical,direct_reporting
Education,% of households reporting barriers to school by type of barriers,School and classes are overcrowded,governorate_gaza,,,ep2_viii,numerical,direct_reporting
Education,% of households reporting barriers to school by type of barriers,Lack of staff to run the school,governorate_gaza,,,ep2_ix,numerical,direct_reporting
Education,% of households reporting barriers to school by type of barriers,The school infrastructure is poor,governorate_gaza,,,ep2_x,numerical,direct_reporting
Education,% of households reporting barriers to school by type of barriers,The curriculum and teaching are not adapted for our children,governorate_gaza,,,ep2_xi,numerical,direct_reporting
Education,% of households reporting barriers to school by type of barriers,Children busy working or supporting the household,governorate_gaza,,,ep2_xii,numerical,direct_reporting
Education,% of households reporting barriers to school by type of barriers,Parental refusal to send children to school,governorate_gaza,,,ep2_xiii,numerical,direct_reporting
Education,% of households reporting barriers to school by type of barriers,Lack of interest of children in education.,governorate_gaza,,,ep2_xiv,numerical,direct_reporting
Education,% of households reporting that they can access a functional basic and secondary school within a 30min walk from dwellings,households that can access a functional basic and secondary school within a 30min walk from dwellings,governorate_gaza,,,e11,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education (traveling to or studying in education facilities reported as being unsafe or very unsafe),% of households reporting safety concerns in relation to their childrens' education (traveling to or studying in education facilities reported as being unsafe or very unsafe),governorate_gaza,,,ep3,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern _westbank,Firing tear gas on schools and students,governorate_gaza,,,ep4_i,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern _westbank,Detention of students from school,governorate_gaza,,,ep4_ii,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern _westbank,Delays on checkpoints,governorate_gaza,,,ep4_iii,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern _westbank,Military entry to school,governorate_gaza,,,ep4_iv,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern _westbank,Military presence around schools,governorate_gaza,,,ep4_v,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern _westbank,Schools under threat of demolition,governorate_gaza,,,ep4_vi,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern _westbank,Contracting COVID-19,governorate_gaza,,,ep4_vii,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern _westbank,Violence/harassment at school,governorate_gaza,,,ep4_viii,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern _westbank,Violence/harassment travelling to school,governorate_gaza,,,ep4_ix,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern _westbank,Risk of sexual abuse/violence at school,governorate_gaza,,,ep4_x,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern _westbank,Risk of sexual abuse/violence travelling to school,governorate_gaza,,,ep4_xi,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern _westbank,Traffic / crossing roads,governorate_gaza,,,ep4_xii,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern _westbank,Attacks from non-Palestinian communities on the way to/from school,governorate_gaza,,,ep4_xiii,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern _westbank,Attacks on schools,governorate_gaza,,,ep4_xiv,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern _westbank,Environmental hazards (e.g. flooding),governorate_gaza,,,ep4_xv,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern East Jerusalem,Firing tear gas on schools and students,governorate_gaza,,,ep4a_i,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern East Jerusalem,Detention of students from school,governorate_gaza,,,ep4a_ii,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern East Jerusalem,Delays on checkpoints,governorate_gaza,,,ep4a_iii,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern East Jerusalem,Military entry to school,governorate_gaza,,,ep4a_iv,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern East Jerusalem,Military presence around schools,governorate_gaza,,,ep4a_v,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern East Jerusalem,Schools under threat of demolition,governorate_gaza,,,ep4a_vi,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern East Jerusalem,Contracting COVID-19,governorate_gaza,,,ep4a_vii,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern East Jerusalem,Violence/harassment at school,governorate_gaza,,,ep4a_viii,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern East Jerusalem,Violence/harassment travelling to school,governorate_gaza,,,ep4a_ix,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern East Jerusalem,Risk of sexual abuse/violence at school,governorate_gaza,,,ep4a_x,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern East Jerusalem,Risk of sexual abuse/violence travelling to school,governorate_gaza,,,ep4a_xi,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern East Jerusalem,Traffic / crossing roads,governorate_gaza,,,ep4a_xii,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern East Jerusalem,Attacks from non-Palestinian communities on the way to/from school,governorate_gaza,,,ep4a_xiii,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern East Jerusalem,Attacks on schools,governorate_gaza,,,ep4a_xiv,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern East Jerusalem,Environmental hazards (e.g. flooding),governorate_gaza,,,ep4a_xv,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern H2,Firing tear gas on schools and students,governorate_gaza,,,ep4b_i,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern H2,Detention of students from school,governorate_gaza,,,ep4b_ii,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern H2,Delays on checkpoints,governorate_gaza,,,ep4b_iii,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern H2,Military entry to school,governorate_gaza,,,ep4b_iv,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern H2,Military presence around schools,governorate_gaza,,,ep4b_v,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern H2,Schools under threat of demolition,governorate_gaza,,,ep4b_vi,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern H2,Contracting COVID-19,governorate_gaza,,,ep4b_vii,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern H2,Violence/harassment at school,governorate_gaza,,,ep4b_viii,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern H2,Violence/harassment travelling to school,governorate_gaza,,,ep4b_ix,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern H2,Risk of sexual abuse/violence at school,governorate_gaza,,,ep4b_x,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern H2,Risk of sexual abuse/violence travelling to school,governorate_gaza,,,ep4b_xi,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern H2,Traffic / crossing roads,governorate_gaza,,,ep4b_xii,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern H2,Attacks from non-Palestinian communities on the way to/from school,governorate_gaza,,,ep4b_xiii,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern H2,Attacks on schools,governorate_gaza,,,ep4b_xiv,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern H2,Environmental hazards (e.g. flooding),governorate_gaza,,,ep4b_xv,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern Gaza,Firing tear gas on schools and students,governorate_gaza,,,ep4c_i,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern Gaza,Detention of students from school,governorate_gaza,,,ep4c_ii,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern Gaza,Delays on checkpoints,governorate_gaza,,,ep4c_iii,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern Gaza,Schools under threat of demolition,governorate_gaza,,,ep4c_iv,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern Gaza,Contracting COVID-19,governorate_gaza,,,ep4c_v,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern Gaza,Violence/harassment at school,governorate_gaza,,,ep4c_vi,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern Gaza,Violence/harassment travelling to school,governorate_gaza,,,ep4c_vii,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern Gaza,Risk of sexual abuse/violence at school,governorate_gaza,,,ep4c_viii,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern Gaza,Risk of sexual abuse/violence travelling to school,governorate_gaza,,,ep4c_ix,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern Gaza,Traffic / crossing roads,governorate_gaza,,,ep4c_x,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern Gaza,Attacks from non-Palestinian communities on the way to/from school,governorate_gaza,,,ep4c_xi,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern Gaza,Attacks on schools,governorate_gaza,,,ep4c_xii,numerical,direct_reporting
Education,% of households reporting safety concerns in relation to their childrens' education by type of concern Gaza,Environmental hazards (e.g. flooding),governorate_gaza,,,ep4c_xiii,numerical,direct_reporting
Livelihoods,% of HHs whose monthly income has decreased as a result of COVID-19,% of HHs whose monthly income has decreased as a result of COVID-19,governorate_gaza,,,l2,numerical,direct_reporting
Livelihoods,% of households reporting that their typical monthly income has changed since the recent escalation,% of households reporting that their typical monthly income has changed since the recent escalation,governorate_gaza,,,l3,numerical,direct_reporting
Livelihoods,% of households reporting an impact of the recent conflict on their livelihood assets or resources,% of households reporting an impact of the recent conflict on their livelihood assets or resources,governorate_gaza,,,l3a,numerical,direct_reporting
Livelihoods,"% of HHs reporting a debt value of more than NIS 5,000","% of HHs with a debt value of more than NIS 5,000",governorate_gaza,,,l4a,numerical,direct_reporting
Livelihoods,"% of HHs reporting a debt value of more than NIS 10,000","% of HHs with a debt value of more than NIS 10,000",governorate_gaza,,,l4b,numerical,direct_reporting
Livelihoods,"% HHs unable to afford basic needs (% HH taking on debt due to healthcare, food, education, or basic household expenditures)","% HHs unable to afford basic needs (% HH taking on debt due to healthcare, food, education, or basic household expenditures)",governorate_gaza,,,l5,numerical,direct_reporting
Livelihoods,% of HHs by primary reason for taking on debt,Healthcare,governorate_gaza,,,l5_i,numerical,direct_reporting
Livelihoods,% of HHs by primary reason for taking on debt,Food,governorate_gaza,,,l5_ii,numerical,direct_reporting
Livelihoods,% of HHs by primary reason for taking on debt,Education,governorate_gaza,,,l5_iii,numerical,direct_reporting
Livelihoods,% of HHs by primary reason for taking on debt,Basic household expenditures,governorate_gaza,,,l5_iv,numerical,direct_reporting
Livelihoods,% of HHs by primary reason for taking on debt,Business-related expenses or loans,governorate_gaza,,,l5_v,numerical,direct_reporting
Livelihoods,% of HHs by primary reason for taking on debt,Clothing or NFIs,governorate_gaza,,,l5_vi,numerical,direct_reporting
Livelihoods,% of HHs by primary reason for taking on debt,Purchasing productive assets for small business or income-generating activities,governorate_gaza,,,l5_vii,numerical,direct_reporting
Livelihoods,% of HHs by primary reason for taking on debt,"Major purchase (e.g. house, apartment, car)",governorate_gaza,,,l5_viii,numerical,direct_reporting
Livelihoods,% of HHs by primary reason for taking on debt,Building reconstruction/rehabilitation,governorate_gaza,,,l5_ix,numerical,direct_reporting
Livelihoods,% of HHs by primary reason for taking on debt,Weddings,governorate_gaza,,,l5_x,numerical,direct_reporting
Livelihoods,% of HHs reporting an increase in debt as a result of COVID-19,% of HHs whose debt has increased as a result of COVID-19,governorate_gaza,,,l6,numerical,direct_reporting
Livelihoods,Average HH expenditure share by type of expenditure,Food,governorate_gaza,,,l7_i,numerical,direct_reporting
Livelihoods,Average HH expenditure share by type of expenditure,Water,governorate_gaza,,,l7_ii,numerical,direct_reporting
Livelihoods,Average HH expenditure share by type of expenditure,Rent,governorate_gaza,,,l7_iii,numerical,direct_reporting
Livelihoods,Average HH expenditure share by type of expenditure,Medical care (including medicine),governorate_gaza,,,l7_iv,numerical,direct_reporting
Livelihoods,Average HH expenditure share by type of expenditure,Debt repayment,governorate_gaza,,,l7_v,numerical,direct_reporting
Livelihoods,Average HH expenditure share by type of expenditure,Fuel and electricity,governorate_gaza,,,l7_vi,numerical,direct_reporting
Livelihoods,% of HHs reporting spending more than 50% of total expenditure on food,% of HHs spending more than 50% of total expenditure on food,governorate_gaza,,,l7a,numerical,direct_reporting
Livelihoods,% of HH reporting that at least one adult (18+) is unemployed and seeking work,% of HH with at least one adult (18+) unemployed and seeking work,governorate_gaza,,,l9,numerical,direct_reporting
Livelihoods,Main barriers to employment,"Increased competition for jobs, not enough jobs",governorate_gaza,,,l10_i,numerical,direct_reporting
Livelihoods,Main barriers to employment,Available jobs are too far away,governorate_gaza,,,l10_ii,numerical,direct_reporting
Livelihoods,Main barriers to employment,"Only low-skilled, socially degrading, dangerous or low-paying jobs",governorate_gaza,,,l10_iii,numerical,direct_reporting
Livelihoods,Main barriers to employment,Underqualified for available jobs,governorate_gaza,,,l10_iv,numerical,direct_reporting
Livelihoods,Main barriers to employment,Lack of family/personal connections,governorate_gaza,,,l10_v,numerical,direct_reporting
Livelihoods,Main barriers to employment,Lack of livelihood/employment opportunities for women,governorate_gaza,,,l10_vi,numerical,direct_reporting
Livelihoods,Main barriers to employment,Lack of livelihood/employment opportunities for persons with disabilities,governorate_gaza,,,l10_vii,numerical,direct_reporting
Livelihoods,Main barriers to employment,"Restrictions on physically accessing work (e.g. checkpoints, permits)",governorate_gaza,,,l10_viii,numerical,direct_reporting
Livelihoods,% of  HH reporting at least one person under (<18) working,% of  HH with at least one person under (<18) working,governorate_gaza,,,lp1,numerical,direct_reporting
Livelihoods,% of HH reporting members losing their job permanently or temporarily as a result of the COVID-19 outbreak,% of HH reporting members losing their job permanently or temporarily as a result of the COVID-19 outbreak,governorate_gaza,,,l12,numerical,direct_reporting
Livelihoods,% of HH reporting members losing jobs permanently or temporarily as a result of the recent conflict,% of HH reporting members losing jobs permanently or temporarily as a result of the recent conflict,governorate_gaza,,,l12b,numerical,direct_reporting
Livelihoods,% of HHs reporting relying on humanitarian assistance as a primary source of income,% of HHs relying on humanitarian assistance as a primary source of income,governorate_gaza,,,l13,numerical,direct_reporting
Livelihoods,% of HH reporting challenges in obtaining enough money to meet its needs over the last 30 days,% of HH reporting challenges in obtaining enough money to meet its needs over the last 30 days,governorate_gaza,,,l14,numerical,direct_reporting
Livelihoods,% of HHs reporting challenges in obtaining enough money to meet their basic needs over the past 30 days by type of need,"Essential communication needs, such as phone credit or provider costs",governorate_gaza,,,l14_i,numerical,direct_reporting
Livelihoods,% of HHs reporting challenges in obtaining enough money to meet their basic needs over the past 30 days by type of need,"Essential education needs, such as tuition, fees, books, etc.",governorate_gaza,,,l14_ii,numerical,direct_reporting
Livelihoods,% of HHs reporting challenges in obtaining enough money to meet their basic needs over the past 30 days by type of need,"Essential health needs, such as medicines or treatments",governorate_gaza,,,l14_iii,numerical,direct_reporting
Livelihoods,% of HHs reporting challenges in obtaining enough money to meet their basic needs over the past 30 days by type of need,"Essential shelter needs, such as rent, furniture, construction costs",governorate_gaza,,,l14_iv,numerical,direct_reporting
Livelihoods,% of HHs reporting challenges in obtaining enough money to meet their basic needs over the past 30 days by type of need,Essential transport services,governorate_gaza,,,l14_v,numerical,direct_reporting
Livelihoods,% of HHs reporting challenges in obtaining enough money to meet their basic needs over the past 30 days by type of need,"Utilities (e.g. Water, electricity)",governorate_gaza,,,l14_vi,numerical,direct_reporting
Protection,% HHs reporting that the primary income-earner is below the age of 18 ,% HHs where the primary income-earner is below the age of 18 ,governorate_gaza,,,p2a,numerical,direct_reporting
Protection,% HHs reporting that the primary decision-maker is below the age of 18,% HHs where the primary decision-maker is below the age of 18,governorate_gaza,,,p2b,numerical,direct_reporting
Protection,% of HHs reporting that women and girls avoid areas because they feel unsafe there,% of HHs where women and girls avoid areas because they feel unsafe there,governorate_gaza,,,p3,numerical,direct_reporting
Protection,% of HHs reporting safety or security concerns for girls,% of HHs reporting safety or security concerns for girls,governorate_gaza,,,p4,numerical,direct_reporting
Protection,% of HHs reporting safety or security concerns for boys,% of HHs reporting safety or security concerns for boys,governorate_gaza,,,p5,numerical,direct_reporting
Protection,% of HHs reporting safety or security concerns for children with a disability (as a percentage of those HHs where at least one child member of the HH has a disability),% of HHs reporting safety or security concerns for children with a disability (as a percentage of those HHs where at least one child member of the HH has a disability),governorate_gaza,,,p6,numerical,direct_reporting
Protection,% of HHs reporting safety or security concerns for women,% of HHs reporting safety or security concerns for women,governorate_gaza,,,p7,numerical,direct_reporting
Protection,% of households reporting that they have a standing demolition order,% of households that have a standing demolition order,governorate_gaza,,,sp5,numerical,direct_reporting
Protection,% of HH reporting the presence of members who have received information or training on the risks of ERW,% of HH with members who have received information or training on the risks of ERW,governorate_gaza,,,p8,numerical,direct_reporting
Protection,% of HHs in Gaza reporting that their home has been damaged or destroyed by bombardment since 2014,% of HHs in Gaza whose home has been damaged or destroyed by bombardment since 2014,governorate_gaza,,,p9,numerical,direct_reporting
Protection,% of HHs reporting that their house has been damage or destroyed as a result of the 2014 conflict,% of HHs whose house has been damage or destroyed as a result of the 2014 conflict,governorate_gaza,,,sp6_i,numerical,direct_reporting
Protection,% of HHs reporting damage to their current shelter as a result of the recent conflict,% of HHs reporting damage to their current shelter as a result of the recent conflict,governorate_gaza,,,sp6_ii,numerical,direct_reporting
Shelter,% of HHs reporting that their house is currently still damaged as a result of bombardment since 2014,% of HHs whose house is currently still damaged as a result of bombardment since 2014,governorate_gaza,,,sp6_iii,numerical,direct_reporting
Shelter,% of households reporting no capacity to repair and rehabilitate the shelter that has been damaged or destroyed,% of households without any capacity to repair and rehabilitate the shelter that has been damaged or destroyed,governorate_gaza,,,sp7,numerical,direct_reporting
AAP,% HH reporting to have received aid in the past 6 months,% HH reporting to have received aid in the past 6 months,governorate_gaza,,,aap1,numerical,direct_reporting
AAP,% HH reporting to have received aid since the beginning of the escalation in Gaza,% HH reporting to have received aid since the beginning of the escalation in Gaza,governorate_gaza,,,aap1_a,numerical,direct_reporting
AAP,% HH reporting to have received in the past 6 months by type of aid received,Cash (multipurpose),governorate_gaza,,,aap2_i,numerical,direct_reporting
AAP,% HH reporting to have received in the past 6 months by type of aid received,Food,governorate_gaza,,,aap2_ii,numerical,direct_reporting
AAP,% HH reporting to have received in the past 6 months by type of aid received,Water,governorate_gaza,,,aap2_iii,numerical,direct_reporting
AAP,% HH reporting to have received in the past 6 months by type of aid received,Fuel,governorate_gaza,,,aap2_iv,numerical,direct_reporting
AAP,% HH reporting to have received in the past 6 months by type of aid received,Shelter,governorate_gaza,,,aap2_v,numerical,direct_reporting
AAP,% HH reporting to have received in the past 6 months by type of aid received,Seasonal items,governorate_gaza,,,aap2_vi,numerical,direct_reporting
AAP,% HH reporting to have received in the past 6 months by type of aid received,Health services,governorate_gaza,,,aap2_vii,numerical,direct_reporting
AAP,% HH reporting to have received in the past 6 months by type of aid received,Education services,governorate_gaza,,,aap2_viii,numerical,direct_reporting
AAP,% HH reporting to have received in the past 6 months by type of aid received,Other non-food items,governorate_gaza,,,aap2_ix,numerical,direct_reporting
AAP,% HH reporting to have received in the past 6 months by type of aid received,Protection/legal services,governorate_gaza,,,aap2_x,numerical,direct_reporting
AAP,% HH reporting being satisfied with the aid that they have received in the past 6 months,% HH satisfied with the aid that they have received in the past 6 months,governorate_gaza,,,aap3,numerical,direct_reporting
AAP,Most commonly reported reasons for dissatisfaction with the aid received,Did not receive the aid on time/ Delays in delivery of aid,governorate_gaza,,,aap4_i,numerical,direct_reporting
AAP,Most commonly reported reasons for dissatisfaction with the aid received,Quality was not good enough,governorate_gaza,,,aap4_ii,numerical,direct_reporting
AAP,Most commonly reported reasons for dissatisfaction with the aid received,Quantity was not good enough,governorate_gaza,,,aap4_iii,numerical,direct_reporting
AAP,% HH reporting not being satisfied with aid worker behavior,% HH not satisfied with aid worker behavior,governorate_gaza,,,aap5,numerical,direct_reporting
AAP,% of households reporting access barriers to aid as a result of the recent conflict in Gaza,% of households reporting access barriers to aid as a result of the recent conflict in Gaza,governorate_gaza,,,aap6,numerical,direct_reporting
AAP,% of households reporting type of humanitarian aid preferred in future distributions by type of aid,Do not want to receive humanitarian assistance,governorate_gaza,,,aap7_i,numerical,direct_reporting
AAP,% of households reporting type of humanitarian aid preferred in future distributions by type of aid,Cash via bank transfer;,governorate_gaza,,,aap7_ii,numerical,direct_reporting
AAP,% of households reporting type of humanitarian aid preferred in future distributions by type of aid,In-kind (food),governorate_gaza,,,aap7_iii,numerical,direct_reporting
AAP,% of households reporting type of humanitarian aid preferred in future distributions by type of aid,In-kind (NFIs),governorate_gaza,,,aap7_iv,numerical,direct_reporting
AAP,% of households reporting type of humanitarian aid preferred in future distributions by type of aid,Cash via mobile money,governorate_gaza,,,aap7_v,numerical,direct_reporting
AAP,% of households reporting type of humanitarian aid preferred in future distributions by type of aid,Physical cash,governorate_gaza,,,aap7_vi,numerical,direct_reporting
AAP,% of households reporting type of humanitarian aid preferred in future distributions by type of aid,Cash via prepaid cards,governorate_gaza,,,aap7_vii,numerical,direct_reporting
AAP,% of households reporting type of humanitarian aid preferred in future distributions by type of aid,"Services (e.g. healthcare,education, etc.)",governorate_gaza,,,aap7_viii,numerical,direct_reporting
AAP,% of households reporting type of humanitarian aid preferred in future distributions by type of aid,Vouchers,governorate_gaza,,,aap7_ix,numerical,direct_reporting
AAP,% HH reporting access/knowledge of complaint mechanisms ,% HH with access/knowledge of complaint mechanisms ,governorate_gaza,,,aap10,numerical,direct_reporting
Protection,Primary reason why services are inaccesible to persons with disabilities ,Cost of accessing service (e.g. transportation),governorate_gaza,,,hp8_i,numerical,direct_reporting
Protection,Primary reason why services are inaccesible to persons with disabilities ,Distance,governorate_gaza,,,hp8_ii,numerical,direct_reporting
Protection,Primary reason why services are inaccesible to persons with disabilities ,Cost of the service (e.g. school fees),governorate_gaza,,,hp8_iii,numerical,direct_reporting
Protection,Primary reason why services are inaccesible to persons with disabilities ,Lack of specialized centers or staff within the governorate,governorate_gaza,,,hp8_iv,numerical,direct_reporting
Protection,Primary reason why services are inaccesible to persons with disabilities ,Services not physically accessible,governorate_gaza,,,hp8_v,numerical,direct_reporting
Protection,Primary reason why services are inaccesible to persons with disabilities ,Discrimination by service providers,governorate_gaza,,,hp8_vi,numerical,direct_reporting
Protection,Primary reason why services are inaccesible to persons with disabilities ,Services provision not adapted to people with a disability,governorate_gaza,,,hp8_vii,numerical,direct_reporting
Protection,Primary reason why services are inaccesible to persons with disabilities ,Movement restricted (or fully inhibited) at checkpoints,governorate_gaza,,,hp8_viii,numerical,direct_reporting
Protection,Primary reason why services are inaccesible to persons with disabilities ,Information about services not accessible,governorate_gaza,,,hp8_ix,numerical,direct_reporting
Protection,Primary reason why services are inaccesible to persons with disabilities ,Stigma in community,governorate_gaza,,,hp8_x,numerical,direct_reporting
Protection,Primary reason why services are inaccesible to persons with disabilities ,Lack of access permit to Israel,governorate_gaza,,,hp8_xi,numerical,direct_reporting
Protection,% of HH where at least one member is reporting signs of psychosocial distress (self-diagnosed),% of HH where at least one member is reporting signs of psychosocial distress (self-diagnosed),governorate_gaza,,,hp9,numerical,direct_reporting
Protection,% of HH where at least one child is reporting signs of psychosocial distress (self-diagnosed),% of HH where at least one child is reporting signs of psychosocial distress (self-diagnosed),governorate_gaza,,,hp10,numerical,direct_reporting
Protection,% of HH where at least one adult is reporting signs of psychosocial distress (self-diagnosed),% of HH where at least one adult is reporting signs of psychosocial distress (self-diagnosed),governorate_gaza,,,hp11,numerical,direct_reporting
Protection,% of HHs reporting availability of PSS services in case of GBV,% of HHs reporting availability of PSS services in case of GBV,governorate_gaza,,,hp12,numerical,direct_reporting
Protection,% of HHs reporting availability of PSS services in case of GBV by type of service,Legal services,governorate_gaza,,,hp12_i,numerical,direct_reporting
Protection,% of HHs reporting availability of PSS services in case of GBV by type of service,Medical services,governorate_gaza,,,hp12_ii,numerical,direct_reporting
Protection,% of HHs reporting availability of PSS services in case of GBV by type of service,Mental health and psychoscocial services,governorate_gaza,,,hp12_iii,numerical,direct_reporting
Protection,% HH reporting that women and girls of reproductive age (15-49) have access to specialized reproductive health services,% HH where women and girls of reproductive age (15-49) have access to specialized reproductive health services,governorate_gaza,,,hp13,numerical,direct_reporting
Shelter,% of households with access to an improved sanitation facility,% of households with access to an improved sanitation facility,governorate_gaza,,,ws1,numerical,direct_reporting
Shelter,% of households who are reportedly sharing their sanitation facilities with other households,% of households who are sharing their sanitation facilities with other households,governorate_gaza,,,ws1a,numerical,direct_reporting
Shelter,"% of households reporting the availability of all listed sanitation items (toilet sear, bidet, niagara, handwashing station, soap, toilet paper)","% of households reporting the availability of all listed sanitation items (toilet sear, bidet, niagara, handwashing station, soap, toilet paper)",governorate_gaza,,,ws1b,numerical,direct_reporting
Shelter,% of households who are reporting that their latrines are lockable from the inside,% of households who are reporting that their latrines are lockable from the inside,governorate_gaza,,,ws1c,numerical,direct_reporting
Shelter,% of households by type of waste drainage system,It is connected to a communal lined drainage and to the sewage system,governorate_gaza,,,ws1b_i,numerical,direct_reporting
Shelter,% of households by type of waste drainage system,A handdug hole in the ground,governorate_gaza,,,ws1b_ii,numerical,direct_reporting
Shelter,% of households by type of waste drainage system,Covered and lined septic tank/cesspool,governorate_gaza,,,ws1b_iii,numerical,direct_reporting
Shelter,% of households by type of waste drainage system,It drains into an open area ourside of the shelter and remains stagnant,governorate_gaza,,,ws1b_iv,numerical,direct_reporting
Protection,% of households by occupancy status,Rented,governorate_gaza,,,sp1_ii,numerical,direct_reporting
Protection,% of households by occupancy status,"Hosted without rent (by family, friends, institution)",governorate_gaza,,,sp1_iii,numerical,direct_reporting
Protection,% of households by occupancy status,No occupancy agreement / squatting,governorate_gaza,,,sp1_iv,numerical,direct_reporting
Protection,% of households reporting risk of eviction,% of households reporting risk of eviction,governorate_gaza,,,sp2,numerical,direct_reporting
Protection,% of households reporting risk of eviction by reason,Authorities requested our household to leave,governorate_gaza,,,sp3_i,numerical,direct_reporting
Protection,% of households reporting risk of eviction by reason,Lack of funds to pay rental costs,governorate_gaza,,,sp3_ii,numerical,direct_reporting
Protection,% of households reporting risk of eviction by reason,Host family no longer able to host our family,governorate_gaza,,,sp3_iii,numerical,direct_reporting
